Unique Key,Mac Address,Data Completed,Device Info,G-Bench: Score,Slingshot Extreme: Score,Test A,Test B,Test C ,Average G-Bench,Average 3D Mark Slingshot Extreme
UserMAC: AC5775D7D7D5,AC5775D7D7D5,03/24/2020 22:19:32,Model:HMD Global Nokia 5.1 Plus Name: Nokia 5.1 Plus Type: Handheld,3820,936,done,done,done,3816.333333,1444.1
UserMAC: F20FEC4AEB20,F20FEC4AEB20,03/30/2020 09:25:25,Model:HUAWEI BKL-L09 Name: Honor View10 Type: Handheld,3911,1573,done,done,done,3817,1445
UserMAC: 3412F95233DF,3412F95233DF,03/21/2020 23:15:03,Model:HUAWEI CLT-L09 Name: HUAWEI P20 Pro Type: Handheld,3893,1570,done,done,done,,
UserMAC: E40EEEEB0289,E40EEEEB0289,03/22/2020 08:03:34,Model:HUAWEI COR-L29 Name: Honor Play Type: Handheld,3878,2724,done,done,done,Min G-Bench,
UserMAC: 3612F9F8E15C,3612F9F8E15C,03/17/2020 13:08:41,Model:HUAWEI ELE-L09 Name: HUAWEI P30 Type: Handheld,3900,4055,done,done,done,3311,
UserMAC: E2A3ACAD7E77,E2A3ACAD7E77,03/23/2020 09:44:04,Model:HUAWEI HUAWEI VNS-L21 Name: HUAWEI P9 lite Type: Handheld,3745,387,done,done,done,,
UserMAC: 54B1218FE73E,54B1218FE73E,03/21/2020 17:49:05,Model:HUAWEI STF-L09 Name: Glassmade's Type: Handheld,3821,1169,done,done,done,Max G-Bench,
UserMAC: 94652DD82BA6,94652DD82BA6,03/21/2020 19:43:05,Model:OnePlus ONEPLUS A5010 Name: OnePlus 5T Type: Handheld,3890,3588,done,done,done,4061,
UserMAC: 685ACFB15DA0,685ACFB15DA0,03/22/2020 10:43:33,Model:samsung SM-A520F Name: Galaxy A5 (2017) Type: Handheld,3861,775,done,done,done,,
UserMAC: 08C5E17704E4,08C5E17704E4,03/19/2020 12:22:23,Model:samsung SM-G950F Name: Galaxy S8 Type: Handheld,3868,2516,done,done,done,,
UserMAC: A2C9A0DBDF85,A2C9A0DBDF85,03/16/2020 21:19:46,Model:samsung SM-G950F Name: Galaxy S8 Type: Handheld,3908,2516,done,done,done,,
UserMAC: 4491609BD04A,4491609BD04A,12-03-20 8:34,Model:samsung SM-G960U1 Name: Galaxy S9 Type: Handheld,3833,3302,done,done,done,,
UserMAC: 00B5D02EAF5D,00B5D02EAF5D,03/22/2020 20:02:24,Model:samsung SM-J330FN Name: Galaxy J3(2017) Type: Handheld,3397,79,done,done,done,,
UserMAC: 008701C2C79C,008701C2C79C,03/22/2020 10:08:08,Model:samsung SM-J510FN Name: Galaxy J5 (2016) Type: Handheld,3311,189,done,done,done,,
UserMAC: 38786202E682,38786202E682,03/23/2020 13:38:29,Model:Sony E5303 Name: Kotori Type: Handheld,3383,321,done,done,done,,
UserMAC: 3A84C800D498,3A84C800D498,03/17/2020 14:23:54,Model:Sony E6833 Name: Xperia Z5 Premium Dual Type: Handheld,3896,1609,done,done,done,,
UserMAC: D6389CA8C4ED,D6389CA8C4ED,03/15/2020 15:22:01,Model:Sony G3121 Name: Xperia XA1 Type: Handheld,3741,644,done,done,done,,
UserMAC: 38786202E682,38786202E682,03-11-20 18:35,Model:Sony G8341 Name: Glassmade's Type: Handheld,3830,3525,done,done,done,,
UserMAC: 3878627A69F9,3878627A69F9,03-12-20 15:16,Model:Sony G8441 Name: Xperia XZ1 Compact Type: Handheld,3902,3525,done,done,done,,
UserMAC: 3878624BA12C,3878624BA12C,03/21/2020 18:40:36,Model:Sony H3113 Name: Xperia XA2 Type: Handheld,3933,811,done,done,done,,
UserMAC: 000822228846,822228846,03/24/2020 13:23:08,Model:UMIDIGI A5_Pro Name: A5_Pro Type: Handheld,3816,515,done,done,done,,
UserMAC: 1801F15C23E6,1801F15C23E6,03/24/2020 15:17:18,Model:Xiaomi MI 8 Lite Name: Mi Phone Type: Handheld,3874,1350,done,done,done,,
UserMAC: 482CA0664FE2,482CA0664FE2,03/24/2020 15:09:35,Model:Xiaomi Mi A2 Name: Mi A2 Type: Handheld,3910,1289,done,done,done,,
UserMAC: 04B1672885E2,04B1672885E2,03/15/2020 20:58:26,Model:Xiaomi Redmi 4X Name: Redmi Type: Handheld,3784,309,done,done,done,,
UserMAC: 04B167B4327B,04B167B4327B,03/21/2020 21:31:27,Model:Xiaomi Redmi 4X Name: Redmi Type: Handheld,3907,309,done,done,done,,
UserMAC: 703A51016F0E,703A51016F0E,03/22/2020 03:59:09,Model:Xiaomi Redmi 6 Name: Redmi Type: Handheld,3886,380,done,done,done,,
UserMAC: 38E60A73A767,38E60A73A767,03/16/2020 22:25:22,Model:Xiaomi Redmi Note 4 Name: Billy's Redmi Type: Handheld,4061,752,done,done,done,,
UserMAC: D863750CC10D,D863750CC10D,03/15/2020 18:55:08,Model:Xiaomi Redmi Note 5A Prime Name: Redmi Type: Handheld,3792,317,done,done,done,,
UserMAC: 8035C178452A,8035C178452A,03/22/2020 14:17:13,Model:Xiaomi Redmi Note 6 Pro Name: Redmi Type: Handheld,3866,946,done,done,done,,
UserMAC: D09C7AD1980A,D09C7AD1980A,03/24/2020 15:52:38,Model:Xiaomi Redmi Note 7 Name: Redmi Type: Handheld,3873,1342,done,done,done,,
